"time";"reports"
1952,2219;6815
1952,2411;6890
1952,2603;6740
1952,2795;5392
1952,2986;6740
1952,3178;6815
1952,337;4718
1952,3562;4419
1952,3753;5692
1952,3945;6216
1952,4137;6591
1952,4329;6291
1952,4521;7265
1952,4712;6216
1952,4904;6740
1952,5096;6666
1952,5288;7489
1952,5479;7115
1952,5671;7265
1952,5863;7265
1952,6055;6965
1952,6247;6066
1952,6438;5168
1952,663;3595
1952,6822;2921
1952,7014;2397
1952,7205;2546
1952,7397;3220
1952,7589;4643
1952,7781;5692
1952,7973;7714
1952,8164;9062
1952,8356;11084
1952,8548;11159
1952,874;11908
1952,8932;11983
1952,9123;14679
1952,9315;16027
1952,9507;17600
1952,9699;19398
1952,989;14080
1953,0082;31125
1953,0274;25257
1953,0466;21798
1953,0658;22322
1953,0849;27143
1953,1041;32068
1953,1233;33012
1953,1425;33536
1953,1616;31544
1953,1808;28191
1953,2;27457
1953,2192;27772
1953,2384;26305
1953,2575;21589
1953,2767;23894
1953,2959;19493
1953,3151;14043
1953,3342;11004
1953,3534;9956
1953,3726;10270
1953,3918;10480
1953,411;9222
1953,4301;8908
1953,4493;7650
1953,4685;7755
1953,4877;7022
1953,5068;6707
1953,526;5659
1953,5452;4926
1953,5644;4506
1953,5836;3668
1953,6027;2830
1953,6219;2201
1953,6411;1572
1953,6603;1048
1953,6795;838
1953,6986;629
1953,7178;629
1953,737;524
1953,7562;629
1953,7753;734
1953,7945;734
1953,8137;838
1953,8329;838
1953,8521;1048
1953,8712;838
1953,8904;838
1953,9096;943
1953,9288;943
1953,9479;943
1953,9671;838
1953,9863;629
1954,0055;1362
1954,0247;1131
1954,0438;1159
1954,063;1102
1954,0822;1187
1954,1014;1498
1954,1205;1837
1954,1397;1950
1954,1589;2092
1954,1781;2431
1954,1973;2205
1954,2164;2318
1954,2356;2063
1954,2548;2318
1954,274;2289
1954,2932;1922
1954,3123;2205
1954,3315;1978
1954,3507;1724
1954,3699;1696
1954,389;1950
1954,4082;2035
1954,4274;2826
1954,4466;2798
1954,4658;3109
1954,4849;2826
1954,5041;3081
1954,5233;2685
1954,5425;3081
1954,5616;2968
1954,5808;3392
1954,6;2883
1954,6192;2826
1954,6384;2261
1954,6575;1696
1954,6767;1583
1954,6959;1074
1954,7151;1272
1954,7342;1413
1954,7534;1837
1954,7726;2346
1954,7918;2798
1954,811;3448
1954,8301;3787
1954,8493;4635
1954,8685;4211
1954,8877;4720
1954,9068;5285
1954,926;5992
1954,9452;6275
1954,9644;6586
1954,9836;5822
1955,0027;8310
1955,0219;9339
1955,0411;7871
1955,0603;7071
1955,0795;10673
1955,0986;12807
1955,1178;18411
1955,137;20012
1955,1562;23747
1955,1753;26549
1955,1945;25481
1955,2137;29217
1955,2329;28683
1955,2521;32419
1955,2712;26949
1955,2904;33086
1955,3096;28683
1955,3288;22546
1955,3479;19478
1955,3671;20412
1955,3863;23747
1955,4055;26148
1955,4247;24814
1955,4438;27749
1955,463;21879
1955,4822;20545
1955,5014;17744
1955,5205;18411
1955,5397;16409
1955,5589;14542
1955,5781;12140
1955,5973;10006
1955,6164;8138
1955,6356;5603
1955,6548;3735
1955,674;2668
1955,6932;1601
1955,7123;1067
1955,7315;1067
1955,7507;1201
1955,7699;1468
1955,789;1734
1955,8082;2135
1955,8274;2268
1955,8466;2268
1955,8658;2401
1955,8849;2401
1955,9041;2535
1955,9233;2802
1955,9425;2802
1955,9616;2935
1955,9808;2535
1956;2802
1956,0192;3272
1956,0384;2407
1956,0575;1975
1956,0767;2161
1956,0959;2469
1956,1151;2932
1956,1342;3179
1956,1534;3210
1956,1699;2840
1956,189;2685
1956,2082;2932
1956,2274;2840
1956,2466;2716
1956,2658;3395
1956,2849;3025
1956,3041;2130
1956,3233;2037
1956,3425;2191
1956,3616;3117
1956,3808;3457
1956,4;3272
1956,4192;3889
1956,4384;3241
1956,4575;3426
1956,4767;3272
1956,4959;3796
1956,5151;3488
1956,5342;3333
1956,5534;3333
1956,5726;3333
1956,5918;3272
1956,611;2716
1956,6301;2438
1956,6493;1883
1956,6685;1389
1956,6877;1111
1956,7068;957
1956,726;1111
1956,7452;1420
1956,7644;2006
1956,7836;2161
1956,8027;2840
1956,8219;3056
1956,8411;3117
1956,8603;3148
1956,8795;3549
1956,8986;4105
1956,9178;4568
1956,937;6050
1956,9562;6574
1956,9753;6729
1956,9945;6975
1957,0137;10966
1957,0329;9260
1957,0521;8164
1957,0712;9504
1957,0904;13037
1957,1096;16814
1957,1288;19739
1957,1479;21323
1957,1671;23029
1957,1863;24856
1957,2055;24856
1957,2247;27171
1957,2438;25222
1957,263;25344
1957,2822;27293
1957,3014;21810
1957,3205;27049
1957,3397;23150
1957,3589;18277
1957,3781;16693
1957,3973;19495
1957,4164;21688
1957,4356;23394
1957,4548;21810
1957,474;22297
1957,4932;17424
1957,5123;15474
1957,5315;13403
1957,5507;12794
1957,5699;11575
1957,589;9869
1957,6082;7920
1957,6274;6580
1957,6466;4265
1957,6658;3046
1957,6849;2071
1957,7041;1218
1957,7233;1097
1957,7425;975
1957,7616;1340
1957,7808;1218
1957,8;1340
1957,8192;1462
1957,8384;1706
1957,8575;1706
1957,8767;1706
1957,8959;1950
1957,9151;1828
1957,9342;2193
1957,9534;2437
1957,9726;2437
1957,9918;2071
1958,011;3660
1958,0301;3001
1958,0493;2538
1958,0685;2428
1958,0877;3608
1958,1068;3898
1958,126;4709
1958,1452;4798
1958,1644;4554
1958,1836;4709
1958,2027;4168
1958,2219;4812
1958,2411;4456
1958,2603;4359
1958,2795;5265
1958,2986;5294
1958,3178;4074
1958,337;3843
1958,3562;3717
1958,3753;4736
1958,3945;5494
1958,4137;5747
1958,4329;6677
1958,4521;5804
1958,4712;6362
1958,4904;6257
1958,5096;6696
1958,5288;7356
1958,5479;6934
1958,5671;6850
1958,5863;6554
1958,6055;5824
1958,6247;5301
1958,6438;3944
1958,663;2906
1958,6822;2056
1958,7014;1669
1958,7205;1529
1958,7397;1688
1958,7589;2066
1958,7781;2888
1958,7973;3886
1958,8164;4394
1958,8356;5209
1958,8548;5525
1958,874;6019
1958,8932;6352
1958,9123;7183
1958,9315;8723
1958,9507;9814
1958,9699;10539
1958,989;8368
1959,0082;17815
1959,0274;14841
1959,0466;12422
1959,0658;13435
1959,0849;17703
1959,1041;21782
1959,1233;24696
1959,1425;25932
1959,1616;24506
1959,1808;23081
1959,2;22336
1959,2192;22897
1959,2384;19163
1959,2575;24763
1959,2767;22426
1959,2959;17344
1959,3151;14185
1959,3342;14046
1959,3534;15422
1959,3726;17842
1959,3918;17170
1959,411;16670
1959,4301;14517
1959,4493;13272
1959,4685;10708
1959,4877;10904
1959,5068;9936
1959,526;8674
1959,5452;8387
1959,5644;6984
1959,5836;6061
1959,6027;4519
1959,6219;3955
1959,6411;2726
1959,6603;1817
1959,6795;1224
1959,6986;838
1959,7178;672
1959,737;673
1959,7562;780
1959,7753;806
1959,7945;940
1959,8137;999
1959,8329;1018
1959,8521;1172
1959,8712;1050
1959,8904;983
1959,9096;1151
1959,9288;1091
1959,9479;1105
1959,9671;1061
1959,9863;932
1960,0055;1406
1960,0247;1325
1960,0438;980
1960,063;999
1960,0822;1129
1960,1014;1478
1960,1205;1448
1960,1397;1950
1960,1589;1992
1960,1753;2201
1960,1945;2001
1960,2137;2103
1960,2329;2051
1960,2521;2305
1960,2712;2096
1960,2904;1985
1960,3096;2337
1960,3288;2124
1960,3479;1464
1960,3671;1635
1960,3863;1763
1960,4055;2113
1960,4247;2325
1960,4438;2315
1960,463;2744
1960,4822;2294
1960,5014;2499
1960,5205;2348
1960,5397;2526
1960,5589;2516
1960,5781;2686
1960,5973;2379
1960,6164;2378
1960,6356;1925
1960,6548;1534
1960,674;1307
1960,6932;1080
1960,7123;1016
1960,7315;1408
1960,7507;1772
1960,7699;2669
1960,789;3009
1960,8082;3661
1960,8274;4286
1960,8466;4937
1960,8658;4551
1960,8849;5058
1960,9041;5197
1960,9233;6774
1960,9425;6791
1960,9616;7836
1960,9808;8081
1961;10533
1961,0192;15979
1961,0384;13583
1961,0575;12607
1961,0767;14737
1961,0959;19240
1961,1151;27954
1961,1342;30898
1961,1534;34887
1961,1726;35688
1961,1918;36660
1961,211;38484
1961,2301;38011
1961,2493;35105
1961,2685;40473
1961,2877;41005
1961,3068;31151
1961,326;23506
1961,3452;20444
1961,3644;22499
1961,3836;24333
1961,4027;22333
1961,4219;24327
1961,4411;19536
1961,4603;18517
1961,4795;15869
1961,4986;15239
1961,5178;13220
1961,537;12433
1961,5562;10396
1961,5753;9962
1961,5945;8170
1961,6137;6283
1961,6329;4897
1961,6521;3477
1961,6712;2302
1961,6904;1568
1961,7096;1043
1961,7288;1011
1961,7479;1020
1961,7671;1071
1961,7863;1255
1961,8055;1246
1961,8247;1166
1961,8438;1144
1961,863;993
1961,8822;939
1961,9014;1079
1961,9205;1148
1961,9397;1069
1961,9589;1257
1961,9781;1163
1961,9973;1049
1962,0164;1288
1962,0356;1172
1962,0548;894
1962,074;924
1962,0932;1049
1962,1123;1170
1962,1315;1332
1962,1507;1432
1962,1699;1464
1962,189;1652
1962,2082;1691
1962,2274;1691
1962,2466;1795
1962,2658;1968
1962,2849;2052
1962,3041;1578
1962,3233;1787
1962,3425;1907
1962,3616;1432
1962,3808;1415
1962,4;1581
1962,4192;1821
1962,4384;2219
1962,4575;2375
1962,4767;2900
1962,4959;2650
1962,5151;2569
1962,5342;2744
1962,5534;3648
1962,5726;3738
1962,5918;4071
1962,611;3966
1962,6301;3827
1962,6493;2865
1962,6685;2077
1962,6877;1690
1962,7068;1245
1962,726;1359
1962,7452;1912
1962,7644;2659
1962,7836;3766
1962,8027;4663
1962,8219;5833
1962,8411;6040
1962,8603;7514
1962,8795;7292
1962,8986;8492
1962,9178;9638
1962,937;11387
1962,9562;13190
1962,9753;13648
1962,9945;11633
1963,0137;20015
1963,0329;18783
1963,0521;15472
1963,0712;13613
1963,0904;16823
1963,1096;22145
1963,1288;22888
1963,1479;24314
1963,1671;21926
1963,1863;21496
1963,2055;19729
1963,2247;20128
1963,2438;21073
1963,263;21185
1963,2822;18530
1963,3014;21973
1963,3205;21504
1963,3397;16367
1963,3589;13882
1963,3781;14137
1963,3973;15895
1963,4164;18931
1963,4356;16259
1963,4548;18820
1963,474;14100
1963,4932;12891
1963,5123;11776
1963,5315;11629
1963,5507;11079
1963,5699;10177
1963,589;9558
1963,6082;7563
1963,6274;6655
1963,6466;4830
1963,6658;3349
1963,6849;2272
1963,7041;1702
1963,7233;1513
1963,7425;1474
1963,7616;1879
1963,7808;2423
1963,8;2748
1963,8192;2885
1963,8384;3149
1963,8575;3192
1963,8767;2868
1963,8959;2877
1963,9151;2863
1963,9342;2875
1963,9534;3207
1963,9726;2778
1963,9918;2000
1964,0082;4639
1964,0274;4448
1964,0466;3417
1964,0658;3447
1964,0849;4013
1964,1041;5654
1964,1233;5665
1964,1425;6177
1964,1616;6106
1964,1781;5785
1964,1973;5289
1964,2164;5852
1964,2356;4375
1964,2548;5324
1964,274;5500
1964,2932;4433
1964,3123;3740
1964,3315;3870
1964,3507;4357
1964,3699;5493
1964,389;5221
1964,4082;6272
1964,4274;5460
1964,4466;5347
1964,4658;5575
1964,4849;6321
1964,5041;6906
1964,5233;7421
1964,5425;5873
1964,5616;7323
1964,5808;9056
1964,6;6859
1964,6192;6475
1964,6384;4863
1964,6575;3743
1964,6767;2876
1964,6959;2184
1964,7151;2263
1964,7342;2521
1964,7534;3391
1964,7726;4041
1964,7918;4793
1964,811;5777
1964,8301;6848
1964,8493;7850
1964,8685;7940
1964,8877;9355
1964,9068;10136
1964,926;11209
1964,9452;11360
1964,9644;12658
1964,9836;11254
1965,0027;15970
1965,0219;16763
1965,0411;13475
1965,0603;13068
1965,0795;14503
1965,0986;19098
1965,1178;22485
1965,137;24161
1965,1562;24412
1965,1753;23294
1965,1945;20966
1965,2137;20094
1965,2329;17717
1965,2521;18231
1965,2712;16067
1965,2904;12909
1965,3096;13867
1965,3288;13401
1965,3479;10811
1965,3671;8382
1965,3863;8930
1965,4055;9388
1965,4247;10790
1965,4438;9515
1965,463;10969
1965,4822;9011
1965,5014;8440
1965,5205;7608
1965,5397;7572
1965,5589;7548
1965,5781;7053
1965,5973;8610
1965,6164;5456
1965,6356;4364
1965,6548;2952
1965,674;1828
1965,6932;1632
1965,7123;1361
1965,7315;1445
1965,7507;1674
1965,7699;2220
1965,789;2499
1965,8082;2705
1965,8274;2986
1965,8466;2988
1965,8658;3188
1965,8849;3223
1965,9041;3575
1965,9233;3705
1965,9425;3960
1965,9616;3601
1965,9808;3602
1966;3836
1966,0192;4746
1966,0384;4219
1966,0575;3536
1966,0767;3454
1966,0959;4573
1966,1151;4856
1966,1342;4973
1966,1534;4769
1966,1726;4722
1966,1918;4228
1966,211;4329
1966,2301;4519
1966,2493;5083
1966,2685;4526
1966,2877;5083
1966,3068;5907
1966,326;4771
1966,3452;4460
1966,3644;4033
1966,3836;4773
1966,4027;5807
1966,4219;5814
1966,4411;7354
1966,4603;8913
1966,4795;8494
1966,4986;6805
1966,5178;7137
1966,537;7789
1966,5562;8322
1966,5753;8225
1966,5945;8725
1966,6137;8042
1966,6329;8872
1966,6521;5140
1966,6712;3350
1966,6904;3304
1966,7096;2649
1966,7288;2760
1966,7479;3261
1966,7671;4369
1966,7863;6031
1966,8055;7033
1966,8247;8135
1966,8438;8687
1966,863;9071
1966,8822;10367
1966,9014;11473
1966,9205;12177
1966,9397;13812
1966,9589;13522
1966,9781;13892
1966,9973;14728
